airfoil_code,airfoil_name,version_no,aoa_deg,cl,cd,ldr
ag03,AG03,5,-4,-0.42117034608409804,0.011990802433038312,-35.12445046410284
ag03,AG03,5,-2,-0.21818072794607507,0.009649053648955484,-22.611619323900563
ag03,AG03,5,0,0,0.008284362641633035,0
ag03,AG03,5,2,0.22055476157679407,0.00942136233019099,23.410071054163883
ag03,AG03,5,4,0.42412872825709264,0.012759173793494769,33.241080897677996
ag03,AG03,5,6,0.6230465049171448,0.018060633780739542,34.497488431529035
ag03,AG03,5,8,0.8752404514299925,0.025791518976490083,33.93520374770506
ag03,AG03,5,10,1.0361773748888312,0.0351013478416326,29.51958937770059
ag03,AG03,5,12,1.2500706777690713,0.04470221837009771,27.96439915843798
ag03,AG03,5,14,1.245909827554146,0.05225807506555888,23.84147954150866
ag03,AG03,5,16,1.183607741171185,0.05919408962392543,19.995370292725767
